,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0000001192092896,2.343133449554444,2.994187116622925,1.722116470336914,2.6286849975585938,1.875044345855713,2.5719330310821533,2.192222118377685,2.6666195392608643,2.864182949066162,2.266085147857666,2.3589649200439453,2.4457263946533203,2.5978074073791504,1.0000001192092896,1.9287588596344,2.7325315475463867,1.4891901016235352,1.4993035793304443,2.022639751434326,2.179665327072144,2.773414373397827,1.8380506038665767,1.4998589754104614,2.6225318908691406,1.7673535346984863,2.7711710929870605,1.038066864013672,1.5122060775756836,1.0000001192092896,1.5292952060699463,2.230307102203369,2.774487018585205,2.2805445194244385
batch_metrics_ASW_batch,0.8111380338668823,0.9335862994194032,0.9789242148399352,0.9666622877120972,0.9769445657730104,0.8983029723167419,0.9553622007369996,0.9319376349449158,0.9627612233161926,0.9171558022499084,0.9716148376464844,0.9645804166793824,0.950000524520874,0.97056245803833,0.8304698467254639,0.9060962200164796,0.9322613477706908,0.9422205686569214,0.9390562772750854,0.9600290060043336,0.9702609181404114,0.8776203989982605,0.9331254959106444,0.7614405155181885,0.9558038711547852,0.7681536674499512,0.9033446311950684,0.882814884185791,0.9377942085266112,0.8575845956802368,0.954584538936615,0.8673049807548523,0.9590580463409424,0.8694285154342651
batch_metrics_PCR_comparison,0.0,0.8972380908036834,0.986884964954727,0.5582406541270837,0.8991977799000717,0.0,0.701358785456623,0.5905212697728087,0.726057834765415,0.8560660390106875,0.0,0.6866827612475354,0.433230396632461,0.901994224995519,0.0,0.9186702068443046,0.8434626151079943,0.0,0.0,0.993456268720803,0.0,0.5089825895657824,0.5220175196607815,0.8454875950831242,0.8551595635558568,0.0,0.7519834598774422,0.0,0.9999983029155924,0.0,0.0,0.0,0.8330938634275856,0.0
batch_metrics_kBET,1.4331575326759915e-05,0.1838884747569909,0.6009044605297724,0.0500703704036566,0.4895106950184537,0.116110672795723,0.3486449365186789,0.1827479951887917,0.3061045246825429,0.4262541008120113,0.2116066921852829,0.4608561100673125,0.2960687797268221,0.5784638026436555,0.0021677289833018,0.1918561325621358,0.4371535446688527,0.0777148112015792,0.0608200469657783,0.2451237674008105,0.3564117359264588,0.3801632107897404,0.1183399437570086,0.0694149716455284,0.4665002560233026,0.0004250099793504,0.627849282763425,0.0170157365236181,0.109872319968093,0.0,0.1116142967073843,0.2319159082157958,0.6473082132529984,0.1808184824038116
batch_metrics_graph_connectivity,0.9018328423720888,0.9512917161478268,0.5953744468036086,0.9787299255119546,0.278673181098651,0.5676195632777878,0.5253457366567917,0.9444678209127276,0.4301561051503454,0.1888137829645752,0.56678812781691,0.4901397789676948,0.6857467483025095,0.3128323186087865,0.9520064511694122,0.925476970436911,0.543905297670666,0.9164494430142442,0.9597999435325106,0.9102816791015392,0.5597253281764666,0.4689166167537093,0.8360486955605928,0.8116353781369887,0.8077992782791452,0.8281741449337807,0.3683861355561386,0.7687774923612151,0.9532019611809088,0.627278392784758,0.8796869423098875,0.9242740519587554,0.7388239712165644,0.9185755619901372
bio_metrics_ARI_kmeans,0.2406813323753134,0.4494929316493056,0.1765133657551255,0.5353391145261635,0.1524216069263042,0.0239259077409795,0.1014221271648903,0.5679031738125581,0.0094469856142583,0.0255184801008527,0.1618677126182727,0.1595482383597391,0.1673565510457251,0.2665587304762111,0.2586237268092379,0.5083337599684759,0.2126039539576537,0.2938931344466762,0.4089956986821826,0.2948713368613264,0.2072097008692267,0.319952223487178,0.4153097357065273,0.2626531049588228,0.2928565679032626,0.4944552097899419,0.2692955897410765,0.478389676184116,0.4858437927062474,0.372496854617845,0.3714359789036345,0.6978616776930865,0.2700873263748594,0.6282940980827113
bio_metrics_ARI_mclust,0.2563804276572728,0.6699860735495747,0.2584439860117772,0.5600179909572343,0.1325861904197431,0.0310952305478912,0.1111818786875785,0.6368738342195384,0.0156028873841866,0.0215851018346961,0.1780685731587797,0.1550046145517261,0.2694402911733721,0.2663234416397008,0.4055397712146719,0.4598506369595941,0.2342463099220121,0.4117134082429695,0.5884083146519086,0.4035969135410462,0.1659435527626334,0.3182823631058541,0.4338968438427166,0.2348934994896726,0.3046804077211203,0.5064283245593472,0.2692728547954822,0.5033780022429959,0.708567918070855,0.3731461349892156,0.5079011391297942,0.7222067120577131,0.2739078339498843,0.6576401729498639
bio_metrics_ARI_leiden,0.2027018308253839,0.7373654619103096,0.2646766288052936,0.6924127722271093,0.0549796693506438,0.1366673657365827,0.2509278875515257,0.4338492354431089,0.0056003911215144,0.0195101490099966,0.2558361149271298,0.1652599402282431,0.2669005844085449,0.2580666109611257,0.2239184717798358,0.5626562734716223,0.1525248345188571,0.548087232616492,0.6859056315312527,0.4167093611396469,0.2754676029951766,0.3131880402836952,0.2850933139724211,0.2902416543875322,0.2734586994419279,0.2980956246933197,0.2744513944496825,0.3406504011694878,0.6346056653989781,0.26754936440147,0.3015267464937979,0.4683445795019035,0.2777112348699663,0.5081152515659436
bio_metrics_NMI_kmeans,0.4029518318015872,0.5546068193588309,0.1767949003158097,0.540633317726181,0.2138609321370435,0.0346374064606517,0.158814532658689,0.5371351769536445,0.0174300044132948,0.0489800372006335,0.2299508563414553,0.2092901404389723,0.2476260033034554,0.2459107083120291,0.4177177957864716,0.5887773417376568,0.2057345557359491,0.3951479286878314,0.5420528559491306,0.3931597989865333,0.2946284349200281,0.3153518995558635,0.4902764839286663,0.2940160379675551,0.2938597430431773,0.5909021155254502,0.2495841184749826,0.5411442070875555,0.5898198708739919,0.5079820800453084,0.4937291233135375,0.7113937243773241,0.2548074941877243,0.5901453620307779
bio_metrics_NMI_mclust,0.4279982590608486,0.6249682779212995,0.2341995845293189,0.5560890205665512,0.2111436869865403,0.0333726307523907,0.1983856420695361,0.5998045020518834,0.0175237547725803,0.0481115049003042,0.2418136576676878,0.2023282419725854,0.2501171401043701,0.2462843719215257,0.5002986426513298,0.5906134949629892,0.1994879128612023,0.5482392381509323,0.6766117908231114,0.5283570927732228,0.2854129235137956,0.3136722906590979,0.5236272089405372,0.1942213658771098,0.3057931839427607,0.5997168401597042,0.2495632671843607,0.5791297433701056,0.6596603485069584,0.5152839716016946,0.583707758226443,0.7157630073931922,0.2505184253036873,0.6081727070298274
bio_metrics_NMI_leiden,0.3415434560682857,0.6750205163233594,0.2362442875583076,0.6393973326436431,0.1182917453312806,0.1753215955606535,0.2058824322813573,0.5482271249299159,0.0186313745787993,0.0484335444131449,0.2403595727997721,0.2444271297468221,0.2495078568311064,0.2284513705357231,0.37924827677754,0.6374222374621923,0.1993748149274394,0.5502655412858014,0.6637837795327182,0.5096610649656274,0.2561485449314398,0.3073105651332819,0.3446249397119016,0.3714230285969869,0.2549537951880194,0.4386777247823984,0.2461874286289369,0.4731253575879631,0.6327606700327885,0.3716884480225529,0.3060839635922967,0.6306773879225522,0.2560027040895307,0.6097241534497827
bio_metrics_cLISI,0.9948607683181764,0.9956941604614258,0.8005005717277527,0.978226363658905,0.7741955518722534,0.7670828104019165,0.7772768139839172,0.9795071482658386,0.6376351714134216,0.707942008972168,0.802433967590332,0.8464592695236206,0.8615131974220276,0.8362799882888794,0.9999998807907104,0.9913150072097778,0.8171789050102234,0.9759036302566528,0.9944787621498108,0.9750532507896424,0.8617026209831238,0.8524360656738281,0.9891173243522644,0.957397758960724,0.9550141096115112,0.9933568239212036,0.7552676200866699,0.9938583970069884,0.9723886847496032,0.999390184879303,0.9900558590888976,0.9999999403953552,0.9584449529647828,0.986267626285553
bio_metrics_isolated_labels,0.5385976433753967,0.5672980546951294,0.4992188215255737,0.5239447355270386,0.4948690533638,0.4594095349311828,0.4921840131282806,0.5588628053665161,0.4880581498146057,0.4730188250541687,0.5004711151123047,0.4977529942989349,0.5048957467079163,0.5022851824760437,0.5435832738876343,0.570205569267273,0.4955353140830993,0.5267205238342285,0.5641952753067017,0.5282440185546875,0.5082889795303345,0.4992290735244751,0.5392736792564392,0.4862211346626282,0.5099624395370483,0.5691550970077515,0.4832489788532257,0.5346710681915283,0.5642019510269165,0.5859187841415405,0.5397624969482422,0.6253503561019897,0.5277850031852722,0.6141685247421265
bio_metrics_ASW_label,0.5367224812507629,0.5419278740882874,0.4975103735923767,0.523741602897644,0.4985460042953491,0.4633838832378387,0.4928492605686188,0.5827993750572205,0.4903609156608581,0.4616868495941162,0.5023106336593628,0.4979209899902344,0.5050223469734192,0.5032697916030884,0.551082968711853,0.5783972144126892,0.4925649166107178,0.5267744660377502,0.5762642621994019,0.5283195376396179,0.5161641240119934,0.5116778612136841,0.5834958553314209,0.4743271470069885,0.5005945563316345,0.5925242900848389,0.4779021143913269,0.5535265803337097,0.5692185759544373,0.5899380445480347,0.5453488826751709,0.6608480215072632,0.5336286425590515,0.6238353848457336
spatial_metrics_moran_i_mean,0.4946431120203739,0.4921914981451054,0.092144392931036,0.2314354038747136,0.0621139889877748,0.0834038005824405,0.0526915830556415,0.2716302444936847,0.0330201456770661,0.036399217378121,0.0618745037017698,0.0673727112549971,0.1616849923247441,0.0613239491134486,0.5057766010254816,0.2209548013578346,0.1318831831131161,0.3377467640032428,0.5348458218128672,0.3640037527025713,0.1995395036366877,0.2257658933729797,0.6137412483370374,0.2651598856983945,0.2527402539394977,0.5815366507574472,0.0868527295313074,0.2423617766793911,0.3419420276041319,0.6260484505777015,0.447721122052108,0.4500406334660684,0.1684685352009629,0.2491854556962412
spatial_metrics_moran_i_std,0.1627909602931435,0.1629913237619774,0.0281503027472303,0.1642357326331371,0.0393641513452826,0.0130687763302873,0.0257622759504262,0.2106167658015012,0.023287281708379,0.022883619506626,0.0323323821789766,0.0312923055854396,0.0333132159468343,0.0322572164080573,0.2538677714027827,0.1339684264506895,0.0436069113349882,0.1245714465306726,0.1926050442457972,0.1192466607041565,0.0288078234348759,0.0581802581900499,0.0789431051494998,0.0304309797340994,0.0583784653653295,0.112077400883317,0.0278263819420272,0.1201921227847487,0.1856351295459348,0.192474884486584,0.1000820518400325,0.2783292182996811,0.0614392934433484,0.1902922656206326
spatial_metrics_greay_c_mean,0.5054223742615287,0.5085588497241751,0.9079373025445964,0.7698866222400937,0.9386274828399755,0.9162465124785392,0.9494804253808706,0.7270777159509887,0.9632972321739712,0.9651751783450508,0.9377294531955666,0.9327440119493322,0.8386489377122694,0.9391477952204896,0.5039256754313881,0.7791727458031616,0.8668175879939779,0.6628867884268086,0.4641074365577018,0.6366650467608921,0.8001075656863534,0.7672900470977049,0.3863389400489728,0.7365580030455405,0.749505448082791,0.4192087834581496,0.9155381202040616,0.7532863794642211,0.6582115755015271,0.3767572502756448,0.5533932626396164,0.550028628409702,0.831908648163773,0.7509330711933719
spatial_metrics_greay_c_std,0.1654897898775277,0.1632409315547112,0.0283616676234713,0.1652616237025634,0.0410750140406959,0.0127810015251076,0.0297400641149475,0.210065600369584,0.021022062661316,0.0262650632647522,0.0326704649691491,0.0322149639620029,0.0349420116616724,0.0340548475491234,0.2483464382454867,0.1346704077900423,0.0441591311044821,0.1267564308253414,0.1951054341713861,0.1207657938301946,0.0306423923984956,0.0569034474029399,0.0785863313592783,0.0345882553239164,0.0612647009826168,0.1138444675652272,0.0323765504623378,0.1206553273330271,0.1887322219266366,0.1955256590165832,0.1015272435996206,0.2830503846955231,0.0669528220836305,0.190673559201215
