,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.0365657806396484,1.235581874847412,1.074263572692871,1.213267207145691,1.025675654411316,1.112265706062317,1.09564471244812,1.2113686800003052,1.3337887525558472,1.0240240097045898,1.1274501085281372,1.1301357746124268,1.2588809728622437,1.0,1.050142526626587,1.0187638998031616,1.007867455482483,1.0000001192092896,1.1858664751052856,1.0110501050949097,1.018166184425354,1.0,1.1674288511276243,1.0000001192092896,1.0000003576278689,1.014623522758484,1.1519848108291626,1.0000001192092896
batch_metrics_ASW_batch,0.6687883138656616,0.8631131052970886,0.9657543897628784,0.9366403818130492,0.9660574197769164,0.8763860464096069,0.9316498637199402,0.8436883687973022,0.9311782121658324,0.859699547290802,0.9219636917114258,0.9109067916870116,0.8925360441207886,0.9459370374679564,0.7166917324066162,0.881367027759552,0.8186624646186829,0.8750370740890503,0.8419971466064453,0.664673388004303,0.7398259043693542,0.8797111511230469,0.4510017037391662,0.8772462010383606,0.6167140007019043,0.844542384147644,0.7238237261772156,0.8921853303909302,0.5459047555923462
batch_metrics_PCR_comparison,0.0,0.9034920889245418,0.988151100824448,0.6552046104247339,0.937445647245827,0.0,0.4864398320046709,0.7321283405074361,0.6034784419896067,0.9428789183744656,0.2400272915002679,0.5991221650077344,0.6380174105743663,0.8767158586901849,0.9735319266794478,0.7249213726442993,0.6331321198652297,0.983017702874691,0.0,0.0,0.9034768247359948,0.9298164952285688,0.0,0.5450537631181187,0.0,0.3055514570211002,0.1113689414006814,0.8323955566164353,0.0
batch_metrics_kBET,0.0966149563274411,0.3105608488756176,0.4557845327820435,0.2472168313481809,0.4816734604153442,0.1867761124823573,0.3058605663675126,0.4705030843891788,0.4397310866537486,0.3679400302833232,0.2085693082193094,0.3127268753388272,0.3215784798796598,0.5002411901306449,0.200343009298659,0.3256616918663942,0.2915936642693756,0.3539122868876713,0.1137892343251956,0.0941699008193186,0.1815455692133887,0.2720684767956642,0.099788666096156,0.4423450683346763,0.1966830639491562,0.3568264030080045,0.2627471095226944,0.4677447353885631,0.1204343535702013
batch_metrics_graph_connectivity,0.7459581321431841,0.8720067124936044,0.6049603449884283,0.9050063231216244,0.2464812169374234,0.6434620017874821,0.5920376810401111,0.8554069341943314,0.5480824713369136,0.4249983572107309,0.5986277903596285,0.5213476544102552,0.6810382621843443,0.4073503814522231,0.8105920773488723,0.6263786605765062,0.889578815740436,0.8357154894921592,0.5622713031485593,0.0960644527356444,0.7842046453877265,0.7561281788899822,0.6772689176067523,0.5005974231166461,0.6186446258859589,0.8085849004745551,0.871549254913681,0.659814744589249,0.7574266896403863
bio_metrics_ARI_kmeans,0.4574241143243243,0.3669353595356226,0.2093771418921146,0.4349240153363759,0.1014240128392668,0.1536871093256157,0.1190151068281352,0.1844587618252825,0.0468537318876361,0.1229287324053435,0.1701810513574001,0.247670218377787,0.2454311830754492,0.242286789918486,0.4411841275185253,0.1725590248268069,0.4211107060044353,0.2873326107276087,0.2610500572775489,0.0502359699769366,0.3561475864984434,0.2887690432106553,0.5036194243254097,0.2370146706497555,0.4270751786760734,0.4246539045690698,0.4962719923093387,0.2642943515383092,0.3819023615659981
bio_metrics_ARI_mclust,0.4861618353662146,0.3916703380732955,0.1894008467286025,0.3745080709681279,0.1328336111929905,0.2096425562680269,0.1159551271283167,0.2551668762700013,0.031626985236734,0.1480769540443281,0.1956835900597645,0.2645917776103813,0.2278440561107093,0.2100257220005733,0.4426718877291567,0.1980822967862569,0.4415155106613617,0.3489071243324566,0.2226650341293344,0.0259996323171429,0.3972103612836123,0.266629818693511,0.4318247334483326,0.2370758697433322,0.3887607260089819,0.4570912125272893,0.4942435238523811,0.2460304657904527,0.3907009763159774
bio_metrics_ARI_leiden,0.543264423203646,0.4711526419933639,0.1890541408153137,0.5181009431348289,0.1168024427882071,0.2571121005507223,0.1812724108538488,0.2922662291121017,0.0949855725108106,0.159384897753133,0.1922715736639202,0.2284924755627841,0.2501340602380117,0.1981542665436693,0.4644450348504806,0.2280455408582346,0.4975464794465634,0.3882419833691563,0.2213748408199962,0.0439603391918349,0.4388574234481059,0.2376900957178608,0.4594669703001171,0.2372684473674263,0.2525434099257949,0.29772896296,0.5753781241807376,0.229644117563289,0.5215013746773534
bio_metrics_NMI_kmeans,0.6076815607203716,0.5407474664563375,0.3056887882252997,0.5590546821271877,0.1629622304192265,0.315270522152538,0.2338090012526396,0.3376881820105805,0.0847668528563323,0.2181351809622772,0.3084415155243809,0.3566830963989542,0.3532371059797585,0.3332203085671223,0.6314878477831245,0.3026366081982604,0.6104918968572248,0.4665430335905134,0.4180996389103574,0.1476405123246534,0.5704671477780723,0.4477332678903168,0.5761330465558738,0.3447358004577764,0.5825265487563033,0.5781844616015529,0.6999836319015375,0.3663516445794384,0.5779712495446641
bio_metrics_NMI_mclust,0.6183433897826004,0.5707581532476044,0.3358759483349591,0.538033512687105,0.2074485841633616,0.334980380525975,0.2309123107822159,0.4145140927117834,0.0949948633575405,0.247415131615379,0.3429377332013698,0.3556621500222884,0.3437588376050025,0.2901097296635343,0.6412729134597542,0.3017821381328895,0.6475736071433116,0.5151370177914353,0.3632294411413277,0.1525372169096694,0.5217513780723787,0.4096769988668424,0.5088287084416947,0.3448630848031085,0.532367994137638,0.598583066672932,0.6991762931727272,0.3713415038143726,0.5850108840092022
