,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0497381687164309,1.823211669921875,2.643770933151245,1.290611982345581,1.626336932182312,2.4731407165527344,2.3701729774475098,1.9138696193695068,2.562924385070801,2.499433755874634,1.9382704496383667,2.543912887573242,2.5887818336486816,1.0085822343826294,2.560331106185913,1.5212726593017578,1.932385921478272,2.661040067672729,1.768397331237793,1.422823429107666,1.883149266242981,1.969705939292908,1.8347291946411133,2.747241973876953,2.176955223083496,2.273064613342285,2.290783166885376,2.271364688873291,2.16355037689209,2.6881089210510254,2.6069297790527344,2.6411831378936768,1.066938877105713,2.524199962615967,1.4921835660934448,2.281947374343872,2.5710911750793457,2.300511121749878,2.563028812408448,2.6140942573547363,2.546879529953003
batch_metrics_ASW_batch,0.8473231792449951,0.8848236799240112,0.978738009929657,0.8637708425521851,0.8987619876861572,0.9674618244171144,0.9625566601753236,0.9229410886764526,0.951629877090454,0.9786714315414428,0.9215843677520752,0.9575868248939514,0.9740474224090576,0.8248351812362671,0.9760822057724,0.8780239820480347,0.9138690233230592,0.9520668983459472,0.9492087364196776,0.9003207683563232,0.8279104828834534,0.9660956859588624,0.9391014575958252,0.7418465614318848,0.9042825102806092,0.8791930675506592,0.935059130191803,0.876465916633606,0.9488439559936525,0.796623706817627,0.8938098549842834,0.951619267463684,0.8918703198432922,0.9664064645767212,0.9422881603240968,0.8088260293006897,0.950727105140686,0.9589874744415284,0.8220663070678711,0.951851487159729,0.84907066822052
batch_metrics_PCR_comparison,0.0,0.9212709935259014,0.9971362874902376,0.0,0.0,0.6596634654844864,0.0289014126306981,0.8293216741420418,0.6652954583217391,0.5563704134294506,0.9313532331831584,0.938554055420206,0.970817621527604,0.0,0.7410938134973145,0.0,0.7235241847820647,0.9284058551905896,0.0,0.5306011700521892,0.9713190391755284,0.9627592160565251,0.0,0.9588562425805108,0.9123617259958882,0.0,0.2554476942279627,0.452769696554154,0.466799662782341,0.9234439466977892,0.8391260348498285,0.9454936002839676,0.0,0.7073952413173209,0.9999991581584464,0.5920638804253607,0.888334373479818,0.7797979759433387,0.91388263525491,0.9180575054826646,0.8999590974072577
batch_metrics_kBET,0.0,0.211167818001314,0.9099714740237752,0.1517781444139432,0.2336194530171326,0.666404449236974,0.545149639944433,0.2730688207840082,0.9131230962633624,0.7156118655409411,0.6618778508822939,0.8159270204288767,0.9145122426401244,0.0812406186230702,0.8946453976616174,0.0631552402232837,0.4357404791681064,0.8639129896171364,0.3764294512955656,0.130618207384533,0.1945579327988165,0.5326897769126689,0.1691582951344379,0.6005438652585938,0.4146167195661241,0.3722869216804073,0.4981631448882078,0.4989592102656534,0.3699274953197682,0.6012590045121238,0.8240951966544575,0.6209565400134465,0.0454828132066938,0.7232563286222842,0.1519053628729907,0.6051670950508239,0.7905222540519199,0.6092108907443172,0.3903396284180988,0.918843435799652,0.6562120013770143
batch_metrics_graph_connectivity,0.984609603152068,0.9521987796739412,0.8942635039319506,0.9816370420799616,0.9099006712987212,0.8516394231313218,0.781401295876054,0.9772648376677676,0.4219406604594107,0.8649382984049929,0.5192745374451934,0.912827193488227,0.587768138609857,0.9706996014471532,0.9008546778133714,0.9685871948242594,0.9280270746498648,0.7438783005571785,0.9743799119220172,0.9910581240982088,0.9215969409931776,0.961943198883304,0.9386700103385308,0.07687339550731,0.969239231301863,0.9789160274803324,0.8923096947409008,0.8991982512721743,0.7671839449493537,0.5273959753120564,0.5987745068024125,0.9669565351235638,0.898822156825431,0.9489785248421668,0.9769333243650596,0.8030957053343536,0.9298337524211444,0.9657252395133824,0.7202367656535611,0.7919754054658832,0.436643154305538
bio_metrics_ARI_kmeans,0.3897340683332377,0.4158705910350251,0.18498952392921,0.4918436675126223,0.3174545531177815,0.193127001673882,0.0288510254594859,0.0985720446371973,0.0139591030017616,0.2355021375751955,0.2620702060487377,0.2341830067258358,0.2402479953614301,0.224864702295706,0.2131315476962707,0.1259297726466091,0.6578188159523607,0.0706895789381098,0.3200701595322894,0.642880379745786,0.4749236197877365,0.4661223542378288,0.3356548852653627,0.0010397484003429,0.6130512072379458,0.6352282604352577,0.311427225701013,0.0838497227965621,0.3721289804053112,0.2262289984759205,0.228967062523574,0.6925793832212703,0.516791549871578,0.2291983473042516,0.7616717970150643,0.4429086322464605,0.2342124532175781,0.6077791347722118,0.4138005008287723,0.3686924454869026,0.5136152280450516
bio_metrics_ARI_mclust,0.4555377633762165,0.4784327241930983,0.2462847077375886,0.755058180923154,0.3220781455476368,0.3758567206520401,0.0355261346692943,0.2068246946910842,0.0087266514505345,0.2926659104978218,0.2819427190513785,0.2525544699870621,0.2710235825189382,0.3561416478402239,0.2297831531284269,0.3206330420216315,0.4830459519566966,0.0724241601967461,0.3867415726356422,0.6794387655094152,0.5949936477584119,0.6313914292592231,0.427606849829786,0.0010397484003429,0.7216647166274002,0.6979095442866461,0.399621133654429,0.086153950020769,0.2721839968333512,0.2431728267126286,0.1769589837067643,0.6952089541743355,0.5100414652309017,0.3045371942074389,0.7978872620257997,0.4556555812697445,0.3158048228144809,0.787067275300138,0.3220789363820127,0.3519628749430487,0.5233222802752848
bio_metrics_ARI_leiden,0.3314643765177487,0.4318528986989036,0.194791846772747,0.7462858072980016,0.344180482849247,0.2698887219835845,0.0314608671547946,0.1161612317213789,0.0253560719170809,0.2790557232750384,0.2292276179534561,0.2300365789315994,0.2498781256068475,0.0648047129398118,0.2303456114861971,0.3516046409625611,0.368573766270781,0.2629795971012716,0.5962609334342294,0.5558525689042799,0.6346226520435484,0.605182741201205,0.3495938243435647,0.0298523053994803,0.5374624522409936,0.5118527687091846,0.3574480017772221,0.2702133209581595,0.2952302651107255,0.1568164611803192,0.1838898703887855,0.402623528757108,0.275071362842619,0.2980832866022955,0.8220998528379928,0.2686725469371361,0.366084960415142,0.7173596966606016,0.3789619610463007,0.321669777660067,0.182884118945692
bio_metrics_NMI_kmeans,0.4290800612734488,0.4675124436981984,0.2236764390327007,0.4983502053777092,0.3391784950040896,0.2513810033286086,0.0507565934466641,0.1568450589477571,0.0186750563447359,0.2417114365127963,0.2760744193557257,0.2660088640854927,0.2613354937152897,0.3062033558333869,0.2873071840177816,0.1830932142972846,0.6130590475803495,0.0932899138501425,0.3722891683763453,0.5875624088090613,0.5385466318704475,0.4627021330707023,0.3835187719266039,0.0034551257612729,0.586279524871167,0.624822504097533,0.357220671406983,0.1393799033783793,0.3472956948944075,0.2204612214965116,0.3211084016955551,0.6480297593536877,0.5344400669326074,0.2862484894913736,0.6949261426398211,0.4818081943805457,0.2750815957239437,0.5946414154036423,0.4691357133565797,0.3642229438757036,0.5052789397898729
bio_metrics_NMI_mclust,0.5037574499550977,0.5161963797745792,0.2556894440423046,0.6936643172661554,0.3614744872041595,0.423971024079769,0.0392289023903984,0.2827559037121249,0.0122468834392355,0.278684393042765,0.2844158069414649,0.270755402985965,0.2802034359548812,0.4390080040227428,0.2999328754202802,0.4185834950377044,0.5577313870967875,0.0978750635746839,0.4534829933603555,0.6561109672307645,0.5836071551036803,0.5827251299722905,0.4683105252255123,0.0034551257612729,0.6628788819230534,0.6580142749366831,0.4319796707287404,0.1540111914417213,0.2846813027890317,0.2269446049937643,0.2793948427460646,0.6558785814839395,0.5238583366828989,0.3575926226909047,0.7374061137693498,0.4838851662465965,0.3780612209619386,0.7640216409912182,0.3683091859803631,0.350512533402863,0.5125501462913772
