,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0164092779159546,1.4782716035842896,1.8245404958724976,1.2383772134780884,1.562333345413208,1.763541579246521,1.7737879753112793,1.7373855113983154,1.819584965705872,1.8180145025253296,1.770013451576233,1.7229297161102295,1.7019808292388916,1.7740492820739746,1.4768199920654297,1.7513858079910278,1.2507929801940918,1.3162271976470947,1.5207678079605105,1.1162350177764893,1.8711652755737305,1.438145399093628,1.6828291416168213,1.711694836616516,1.084024429321289,1.80828595161438,1.060251235961914,1.2273578643798828,1.4750266075134275,1.8008549213409424,1.8148247003555296
batch_metrics_ASW_batch,0.8713817596435547,0.8763193488121033,0.9571992754936218,0.92692631483078,0.9517555832862854,0.9201170802116394,0.9235336184501648,0.929778814315796,0.951461136341095,0.8829417824745178,0.9496574401855468,0.9383988380432128,0.9039961695671082,0.938474416732788,0.8763510584831238,0.8612382411956787,0.9030868411064148,0.8891150951385498,0.9129545092582704,0.9006237387657166,0.7994495034217834,0.8457475304603577,0.8789519667625427,0.8963343501091003,0.8595948219299316,0.8701221346855164,0.8609976172447205,0.8916662335395813,0.8502256274223328,0.910000503063202,0.8298528790473938
batch_metrics_PCR_comparison,0.0,0.26877817330219,0.9780875628502484,0.0,0.7203272709801841,0.4284743203228229,0.4940331019852422,0.7395844776963585,0.5175025167441977,0.6003082834647392,0.4479733874014651,0.5105547989128955,0.0,0.8048957961949387,0.9344982900103735,0.5133854952920356,0.0,0.2859470120980472,0.9771145933640568,0.0,0.6033478337250656,0.5790114129186,0.8845229435570616,0.9235253988291292,0.0,0.5629167983752218,0.0,0.0,0.7141150947720566,0.7794439784801648,0.2923082789727328
batch_metrics_kBET,0.0543427423718479,0.1862690333686407,0.3727465641401818,0.1144656435043235,0.3847137051278329,0.4610689222190485,0.3268561326828375,0.3569974104922173,0.3657954514082964,0.3817279830461153,0.4556643359018289,0.4352878041879293,0.357181753623574,0.4923568756261303,0.2566134896275193,0.3337118678367289,0.2557973116800748,0.1997845850919331,0.3500521539952677,0.1815668280247831,0.4203591081630337,0.2194471720889366,0.2755527378581515,0.3877239183478373,0.1318133006224223,0.4466963478636865,0.0555685478005163,0.2245293425387643,0.3557867011722971,0.4416330482677279,0.3416393177397451
batch_metrics_graph_connectivity,0.9335995497701788,0.9105555883537616,0.7405680915173657,0.9342999598253924,0.5080383906485925,0.7030209070763762,0.7208034446242984,0.8673535855368247,0.6677928898376818,0.405108704905734,0.6768369980302963,0.6697874792814081,0.7805613841114325,0.60092642455405,0.9041708376971296,0.6808066744897768,0.8916177220793483,0.9319926255692071,0.8848928522306939,0.6803157029688652,0.4599815637146441,0.859359451952375,0.8375249232818464,0.8348805951298739,0.2854429478578448,0.5497191696324965,0.9133130956978744,0.8891948091612253,0.2247676740309343,0.7938116490516935,0.82723981430967
bio_metrics_ARI_kmeans,0.1988716105235787,0.2830008265457542,0.0880761074686262,0.4028218164096527,0.0975609690866999,0.0165828661510437,0.0942258671566548,0.2015567346570692,0.1222279867681204,0.0494030045983054,0.1074137530968522,0.1229842947901279,0.1208798087352724,0.1147907078407228,0.4283991284888941,0.0250744582525828,0.1238823761098589,0.3230798861751124,0.1178878062903444,0.252604465608385,0.1878408012140912,0.381853903217236,0.2748819468935276,0.2831500830325633,-0.0004010080912409,0.1083201227012983,0.481679910419136,0.3330473065757499,-0.0123964945102433,0.1457920857822152,0.1467838106249172
bio_metrics_ARI_mclust,0.3489907611156613,0.2771667071328093,0.0808828585018255,0.4368040210768729,0.0968065598869627,0.0771475956953974,0.0972040210979499,0.3647834439626616,0.1153078232841669,0.0407152471205122,0.094234903431547,0.1014267396755509,0.1144210021648709,0.1102228149884624,0.5217155964941043,0.0983987118109073,0.1770303089480084,0.4691687324821511,0.2681137768933902,0.1200957467504,0.1211730115232234,0.5172084947789443,0.1959974668178815,0.2612495234697586,-0.0009678636566165,0.0809319064434098,0.3809311095671622,0.1884366107582749,-0.0132127316997952,0.1326768536443092,0.2422161720730297
bio_metrics_ARI_leiden,0.4793477409405271,0.4975552771224465,0.0407584180910451,0.6215368176011967,0.1124312898269595,0.0887201698749853,0.08171250277694,0.2555822946792221,0.0905553188960239,0.1042105674506271,0.0583156357330338,0.0957435394207687,0.0365266406157352,0.0328224753322656,0.6412201652361322,0.0725852477239706,0.2612772231534898,0.4415793819237236,0.2205118998150501,0.1543968867629416,0.1394543292550122,0.3744395575542996,0.247426799011937,0.208374027462471,0.0044308631685866,0.0707882811926856,0.43014223998955,0.2687283800255272,-0.0001526266586602,0.1011011778204978,0.2508073477973563
bio_metrics_NMI_kmeans,0.3314266682969444,0.39682781997347,0.1271589869299018,0.4623278438225335,0.131208292473268,0.0460212351991288,0.1337209571792661,0.3279153614270616,0.1849921316218602,0.0851888628302785,0.142029037699132,0.1794906749669179,0.1711100043705046,0.1728662765069516,0.5430431058683832,0.1024661875010334,0.2546918295244368,0.4445735864160668,0.2475736905123859,0.3591854074257982,0.2844356330912053,0.5134234846886963,0.4030870827459843,0.3553203554507546,0.0071852705754739,0.1666426371366974,0.5909921735955852,0.4804071769352203,0.0058269286107725,0.2322806522274677,0.2715981455510975
bio_metrics_NMI_mclust,0.4684803738610044,0.375897039495176,0.1390094357319392,0.4532074248278966,0.1321685282847755,0.1139528970929125,0.1479795969450153,0.3863983902841329,0.1903558386750438,0.0699303226722008,0.1274200232710161,0.145314617735827,0.1723303495189333,0.1714899848251796,0.5716752920861935,0.1585074734698197,0.3234787720016942,0.5844554248011957,0.3753138301817101,0.206212990310647,0.2311243061364789,0.5462368133347152,0.3177339256519313,0.3209623815851253,0.0074214422581217,0.1477737280371149,0.5493792051895112,0.3274808422491415,0.0058289669810538,0.2025634689501317,0.316463348729445
