,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.1713758707046509,1.7022485733032229,1.1239537000656128,1.4351248741149902,1.584311842918396,1.5722686052322388,1.4694905281066897,1.6633665561676023,1.536726713180542,1.4742515087127686,1.5136845111846924,1.4313788414001465,1.5989423990249634,1.032710313796997,1.7377984523773191,1.1040549278259275,1.2161712646484375,1.0290848016738892,1.8394262790679927,1.40960955619812,1.3216378688812256,1.4431108236312866,1.6919381618499756,1.000000238418579,1.0193201303482056,1.3861232995986938,1.6036553382873535,1.7496904134750366
batch_metrics_ASW_batch,0.8921390175819397,0.9656256437301636,0.9361843466758728,0.966210663318634,0.9405493140220642,0.9474869966506958,0.8943577408790588,0.9643531441688538,0.8689826726913452,0.964229941368103,0.9544662237167358,0.927191436290741,0.944008767604828,0.8595046997070312,0.9183043837547302,0.8734555840492249,0.9200851917266846,0.8954823017120361,0.8416786789894104,0.8762127161026001,0.9203873872756958,0.8361308574676514,0.9116334319114684,0.8050968647003174,0.9058802723884584,0.8550981283187866,0.9275140166282654,0.8814713358879089
batch_metrics_PCR_comparison,0.7562780624971654,0.9703477080404252,0.249529315388453,0.8162517054817301,0.4813446282522261,0.5399427128214431,0.7206429666122425,0.6514759031021815,0.0,0.4245693304307074,0.6132360500098266,0.0,0.9360343782125418,0.9586174454482064,0.8541404584675042,0.542344135032579,0.99145198369139,0.0,0.8714954358285334,0.95856154781207,0.8431640300202579,0.0,0.8069450428590865,0.0,0.0,0.2511584520084055,0.9287235721196728,0.0
batch_metrics_kBET,0.4530338956518182,0.6180967255908657,0.4036138926689924,0.572915726657529,0.5281688202424039,0.5181409982452999,0.4898143877672408,0.5790192404438922,0.4615033063051268,0.5228875055695531,0.5360147986375821,0.482991405020701,0.6415187627529413,0.4178313229302668,0.5116562012429002,0.4274278713367891,0.4772154865835886,0.3917935045276656,0.3193374625749523,0.4637750417811697,0.4980569287293149,0.3772914968629445,0.566732691968813,0.3102544969723487,0.4231706095805336,0.4102740814693559,0.5838640857184184,0.4945133973381849
batch_metrics_graph_connectivity,0.8794097769725358,0.508535105249374,0.9220709945928544,0.2644250441215032,0.5014189374685419,0.4614500675826853,0.7904822332778972,0.3955492464436527,0.2749872268781044,0.4256314087522632,0.4498950354056221,0.6391197499669905,0.3206180987706111,0.8723351593268435,0.4502629931780337,0.9023712035409376,0.8315103965918275,0.4918532872551288,0.1792025374786952,0.6214709033148436,0.7401686247129644,0.1276529472659504,0.2999019447721615,0.8917373793094223,0.8490228819656559,0.1156739716255163,0.6369763906968177,0.6887498947284615
bio_metrics_ARI_kmeans,0.220232271151071,0.0935791689296369,0.2180249169157314,0.0783406516588174,0.0477731192391115,0.079614167025584,0.1278738889918071,0.0829586427319757,0.0560578836267473,0.0774865566475225,0.0715020669946111,0.0788854576128268,0.0711640663046389,0.3257004250655744,0.0880119374460347,0.2025542933636843,0.1254912531451878,0.1570975196973914,0.200698162945769,0.1660151515841134,0.1605309670414136,0.0098187645020764,0.0592985347682533,0.2825099482041409,0.2462499240914411,0.0024210318362207,0.0852314596516714,0.1893737374017005
bio_metrics_ARI_mclust,0.1870995600507531,0.0966303407255208,0.1699238465129002,0.0816710505932319,0.0540020034012197,0.0684206710790552,0.1668175482907804,0.0794772783783506,0.04972202774191,0.0655052371440531,0.0718818330956273,0.1032674707842941,0.0990541037710897,0.2915318980834293,0.0719014605612661,0.282770815434554,0.1616148959574308,0.1005092123770066,0.1250183193102289,0.1062120704404759,0.1217533846405978,0.0096337792553281,0.0710702343467757,0.2940177128836279,0.1807626047917589,0.0018457080059882,0.0779030540869611,0.1814086999993808
bio_metrics_ARI_leiden,0.3133862374851791,0.0856024556670412,0.3460913719197404,0.0663722981787953,0.0767133618459388,0.0819506595213456,0.1664967303163919,0.0787662652012866,0.0615848689717199,0.0766232751623421,0.0984170373861858,0.0826917243241777,0.0922960465276485,0.3586627756363951,0.0844736833150991,0.3196619688035579,0.1817229371149097,0.1335192848609264,0.0640703663876546,0.1961123629221349,0.162568053134129,0.0079751674862927,0.0791806366609946,0.1870176111506681,0.244429879552541,0.0107270256296798,0.1120043587271211,0.179654036224216
bio_metrics_NMI_kmeans,0.3767918517699165,0.1617083440201866,0.3732859677453636,0.1696028902369949,0.1212368085065764,0.1669130655591421,0.2523141286019301,0.1660698267862847,0.1141537526337997,0.144911064919069,0.1788075607213345,0.1983420872569786,0.1727115188374627,0.4716604356827567,0.1878697227880594,0.3760589897037343,0.254509000585523,0.2841563881099685,0.2388682391454911,0.3181117611343338,0.3000065157182933,0.0299578637314226,0.1660736171741238,0.474288104812173,0.4046016135417366,0.0314035059336903,0.2138134717723747,0.2998376974962861
bio_metrics_NMI_mclust,0.3488031271119743,0.1760396321150613,0.3566087030992512,0.1732162545755208,0.1521840015442549,0.1525108422798527,0.3070397277507146,0.1713243458886842,0.1182988299734068,0.1474712232812712,0.1782331981589384,0.2282363442963084,0.1957154472878358,0.4535630548425463,0.1692339748152649,0.4612868847388382,0.3179705869870975,0.2163916980386385,0.2268807106546333,0.225622945948987,0.2605049861649088,0.0304339434880655,0.1679094629419511,0.4770443671444076,0.336797516933633,0.0305343889370571,0.1980186939867927,0.2950774016817564
