,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.0142982006072998,1.0935932397842407,1.0000009536743164,1.0464190244674685,1.0,1.0000001192092896,1.0000009536743164,1.0000003576278689,1.0000001192092896,1.000000238418579,1.0000003576278689,1.0956408977508545,1.0,1.0,1.0012128353118896,1.0000001192092896,1.000000238418579,1.000000238418579,1.0,1.2649809122085571,1.0000001192092896,1.0,1.0000001192092896,1.020975112915039,1.0,1.0000004768371582,1.0,1.0,1.0,1.0,1.0,1.0000001192092896,1.0556528568267822,1.0
batch_metrics_ASW_batch,0.5138983130455017,0.8621055483818054,0.9461407661437988,0.8956152200698853,0.943163514137268,0.6189943552017212,0.4860238432884216,0.8001111149787903,0.839641273021698,0.7785720825195312,0.8654414415359497,0.7638164758682251,0.8898385167121887,0.5374419689178467,0.6231220960617065,0.7190136313438416,0.6758869290351868,0.7995615601539612,0.7620602250099182,0.7408136129379272,0.3123993277549743,0.7115415930747986,0.4622906744480133,0.7879688739776611,0.8567010164260864,0.404078334569931,0.5072466135025024,0.7440303564071655,0.7156910300254822,0.6951453685760498,0.6557304859161377,0.7406432032585144,0.6796677708625793,0.8979285955429077,0.3886565566062927
batch_metrics_PCR_comparison,0.0,0.5750861763181979,0.832870991531659,0.7505816281024142,0.9119746566406356,0.0,0.3698527595321813,0.7487334620314473,0.6491324713665151,0.0,0.6732441336530932,0.9736914525081432,0.9539517075186452,0.0,0.9828228621820364,0.9663882380350654,0.0,0.724989681369077,0.9561800211164434,0.0,0.4742802635613156,0.9155324007874616,0.0,0.8829440691067636,0.9960256987752282,0.0,0.5449903762778016,0.0,0.0,0.9999994194290772,0.0,0.9684913630625086,0.864985737666611,0.9804157861784946,0.0
batch_metrics_kBET,0.0002151705204981,0.0600955548754858,0.2702279037805034,0.0162901661918724,0.2470243701742885,0.0004019576049063,0.239397761475286,0.0423129347350848,0.130182596221176,0.1987164004176509,0.1403162047246142,0.2119130072326322,0.2676819727006014,1.1889192723814052e-05,0.0049017012334391,0.2406735749256462,0.1011731478183923,0.0123302631938426,0.0303358953861275,0.0961508248232521,0.0095519258360004,0.1072649724026455,0.0003798632398187,0.1033176804569137,0.273232792301067,0.000570883765877,0.0855347671963614,0.1009426374153473,0.0001995917667249,0.0009156705542933,0.0002020032757803,0.1015916751957711,0.0335180097410483,0.3085719219014216,0.000360286983711
batch_metrics_graph_connectivity,0.6129398389155515,0.8415005394074885,0.5141993372481921,0.8735282214696752,0.3359460570036556,0.4150280046673871,0.3895371447263075,0.8694868975797707,0.2143973451767563,0.456420781964904,0.4031048545299679,0.5894311008175758,0.3512329776525221,0.6657162000962731,0.6011639681600469,0.4659674276220276,0.7872674348467907,0.8453437621002083,0.6279325878884151,0.5117512831248651,0.0179429310533698,0.7840815937429124,0.5052337465251008,0.7032305207113161,0.4473412997279465,0.4126013783376591,0.297702409523162,0.5186084342347038,0.6127726981310562,0.7554577341890752,0.6109042934381645,0.5881424435163226,0.8264864499814053,0.6160166649523136,0.5287399123737585
bio_metrics_ARI_kmeans,0.1801305112003285,0.2365726344910972,0.118684917926709,0.1515076015960011,0.0924324687917225,0.065583791968783,0.0085596186178351,0.2002637104781388,0.0263204967602749,0.055702125599885,0.0589904271318991,0.0897904607871859,0.0774018314594016,0.122094346415314,0.1369459602554338,0.0534072404377011,0.131613958320789,0.2294626526582343,0.2867430887755746,0.1177397857956677,0.1316589567345709,0.316818315769964,0.1435342721799998,0.235346801724784,0.1044142763327493,0.2461723662951643,0.0599723575169439,0.115972942451023,0.2148840051918304,0.1060510699788619,0.1378812076739981,0.1330141999960399,0.2368688908527195,0.2166825020600167,0.2218358883905225
bio_metrics_ARI_mclust,0.1600635123651681,0.2430748906396872,0.1091894839566562,0.0607010522382372,0.0543720077767216,0.0873493846097414,0.0103486588513187,0.1448007016325605,0.0292138881601217,0.056156422432894,0.0667547637537741,0.0664703116269236,0.1054628688457834,0.173589396718683,0.1357085596234117,0.0441669315322092,0.1164590781476962,0.2570185903186199,0.2574347182012732,0.0901250201684938,-0.013726034308046,0.3418453627765538,0.0811068738460419,0.1518686699514728,0.0618617423555327,0.2925513112619917,0.0571650917524586,0.1429537244504449,0.3039523796359539,0.0904275552766749,0.1555741157803767,0.1645330398089078,0.3560555878726783,0.1383756173555111,0.2111566511955996
bio_metrics_ARI_leiden,0.2167166990762739,0.3865539609734654,0.1369314109042323,0.2179093551992525,0.0130007224426766,0.0868987107051179,0.0923414655292597,0.2110250550357608,0.02632667073228,0.0784316164697963,0.0760560822672183,0.0734836290049348,0.0692924701487432,0.3484400907388899,0.2042577643633004,0.0275345693428517,0.252740938206198,0.2464738800318276,0.3181390256868198,0.0843649153057636,0.1177962802716769,0.2793140365029453,0.1651640092404214,0.1251499393164357,0.1198377655164492,0.2412836003869501,0.0601517259316286,0.1654406670497429,0.2436926016582178,0.2645429841847657,0.2563764865557101,0.2378027952265246,0.5073481571393402,0.2205331525628511,0.1982657514775127
bio_metrics_NMI_kmeans,0.4008071704762056,0.3509090089594997,0.1737703340550957,0.320181175922762,0.1407136395408548,0.0984088326804756,0.1103843862255206,0.3537573048909299,0.0655045821366949,0.1459744103415647,0.1778519435780956,0.251405175876886,0.197511526236093,0.3301481623702393,0.4075424058889616,0.1976516079863045,0.3540145924291955,0.3971662736901802,0.3880182329381632,0.2036701088896964,0.1507791964129167,0.4081360820519999,0.3255861995626294,0.3898012991744971,0.2251350879156751,0.3413144616210493,0.1690138588300123,0.33509959878359,0.37882123408781,0.393029781753499,0.3492983381162083,0.4129012261230663,0.5048253197398531,0.3005035580024713,0.4354793001591488
bio_metrics_NMI_mclust,0.3745197967703619,0.4019279564260727,0.1766029350657298,0.3197125241219168,0.1447157478077124,0.14490113963939,0.1132241660656408,0.3786695108034487,0.0589174111814969,0.1280942461193674,0.1587512751783804,0.2171481889518944,0.1981924686792234,0.3521261514088825,0.4097685831523056,0.2149031601315141,0.3360739984850776,0.4583786116655107,0.3976162898793992,0.1816892605655624,0.0577442269050304,0.4172579679680758,0.2453047847601362,0.3738438619141643,0.203318034631935,0.3588103149335928,0.1724990780940911,0.3692498021418801,0.4113482102511544,0.3883193165389152,0.3842205652066859,0.4209774984966513,0.5644990168694293,0.2520684248646444,0.4334781874228224
bio_metrics_NMI_leiden,0.4432543287146047,0.5071025885729847,0.1683765498324899,0.4311135755557048,0.0797882727013442,0.1376768851071461,0.1476048291599543,0.408928762109525,0.062483134532893,0.1484109779058791,0.1727796032179671,0.1884759146565088,0.184790773095174,0.4965625594698074,0.4407856540482399,0.2080426140822493,0.4273479544521248,0.4455298990032206,0.4187903421049547,0.2267616359966223,0.163736610604726,0.4173511612723413,0.3083958746973179,0.2936776999169324,0.2091249359707907,0.3328721164993902,0.1691436797787741,0.363204758777817,0.4112585813009583,0.4373478964017602,0.4492476144648246,0.4258536593310803,0.6348120825496799,0.264971050420032,0.418965595391467
bio_metrics_cLISI,0.9938675165176392,0.9923012852668762,0.8870437741279602,0.9846487045288086,0.8537982702255249,0.8238853216171265,0.8548234701156616,0.9661853909492492,0.7547875642776489,0.8268525004386902,0.8811777234077454,0.9086148142814636,0.8823418617248535,0.9969035387039183,0.9891071319580078,0.8795827627182007,0.9807775616645812,0.9922901391983032,0.978794276714325,0.9084932208061218,0.7510319948196411,0.9742602109909058,0.952912986278534,0.9766778945922852,0.9035907983779908,0.8989989161491394,0.8116515278816223,0.9864012002944946,0.9796956777572632,0.9937055706977844,0.9972419738769532,0.9876869320869446,0.9992992281913756,0.972894012928009,0.9691044688224792
bio_metrics_isolated_labels,0.8599772453308105,0.496468037366867,0.4845198392868042,0.455186128616333,0.434983879327774,0.6127342581748962,0.952533721923828,0.5025007724761963,0.4810106754302978,0.6192484498023987,0.5582800507545471,0.6349514126777649,0.471993625164032,0.8702268600463867,0.8333468437194824,0.6236269474029541,0.7311978340148926,0.533578634262085,0.5139573216438293,0.5895712375640869,0.2773433029651642,0.4452168941497803,0.7773604393005371,0.5870561599731445,0.3820645809173584,0.7981728315353394,0.6307048797607422,0.6996669173240662,0.5491237044334412,0.676424503326416,0.7749565839767456,0.6811308264732361,0.3807241320610046,0.3792175352573395,0.8446662425994873
bio_metrics_ASW_label,0.4011464416980743,0.5023189187049866,0.4971179664134979,0.4954729974269867,0.4904961884021759,0.4169322550296783,0.2574906945228576,0.4918210804462433,0.438167542219162,0.4438560605049133,0.4627175331115722,0.4298731982707977,0.4955099821090698,0.3756492435932159,0.3828771710395813,0.4257940948009491,0.4183310270309448,0.492141842842102,0.4829771816730499,0.4633067846298218,0.3619448840618133,0.5309134125709534,0.3869664072990417,0.4776277244091034,0.4769898951053619,0.4070486724376678,0.3019563555717468,0.4436051547527313,0.4995218217372894,0.4266124963760376,0.4186066687107086,0.4343520998954773,0.5200308561325073,0.5096924304962158,0.4170950949192047
spatial_metrics_moran_i_mean,0.8382151394013924,0.8484788318758503,0.1976909746544058,0.6258465262719057,0.2086219112232004,0.1079198329049102,0.148599158066854,0.6696822928496882,0.0783592592048374,0.1321148642662446,0.170115535761916,0.3300265718261433,0.214828676717566,0.8786242304439538,0.6705565304961594,0.327021425888698,0.6700935789637924,0.8118019135113834,0.6967855064131994,0.3075183727692322,0.1785761776247605,0.7260292066101128,0.3421155609137414,0.5173190756446348,0.5297246591663844,0.7406860049677033,0.2569398968712336,0.5938307642593477,0.6483800856168978,0.7042181456433262,0.9308290930439348,0.6746366001691964,0.953655440417138,0.4689088565218689,0.6546866847573819
spatial_metrics_moran_i_std,0.1021365245268261,0.0561838482998795,0.1435596211880195,0.0936575284571523,0.1115765479339249,0.0857953312910884,0.10594059727228,0.0963358521497049,0.0702724176245132,0.0990945921258696,0.133100046084996,0.2173665692625637,0.1450762436328574,0.0823769538619191,0.0303100548795454,0.1527654630829729,0.1479958281079928,0.1031905058696516,0.0599931734130844,0.1714872103963345,0.0453362037497197,0.1794117755438818,0.1626203616646642,0.1114026769553708,0.2145099494169975,0.0039347718776212,0.0964758522304858,0.0464363975841509,0.1103582483591897,0.1506104800767612,0.0325255637717898,0.1510627456285913,0.0115825733036367,0.1315757178705456,0.055337320665565
