,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STAGATE,SPIRAL,spCLUE,SpaVAE,scNiche,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.2691409587860107,1.986313343048096,2.268095016479492,1.0675098896026611,1.2949897050857544,2.333967685699463,2.4377894401550293,2.2495174407958984,1.2669167518615725,1.9852075576782229,2.3748998641967773,2.4623167514801025,1.472750902175903,2.5733284950256348,2.090127229690552,2.485544204711914,2.6437764167785645
batch_metrics_ASW_batch,0.9400714039802552,0.9259897470474244,0.9673550724983216,0.9366995096206664,0.9522691965103148,0.9671611785888672,0.956668257713318,0.950524926185608,0.9195908308029176,0.9138647317886353,0.9446598887443542,0.9231802821159364,0.9588844180107116,0.9806877970695496,0.8893078565597534,0.9531944394111632,0.949861705303192
batch_metrics_PCR_comparison,0.0,0.0,0.1804598058147975,0.0,0.0,0.157007538340899,0.957767464132604,0.9327420406832824,0.0,0.1598148763040324,0.9455224831025316,0.0,0.0,0.9765918273216267,0.4705397295828729,0.9539831324699394,0.7624929357071706
batch_metrics_kBET,0.1078376516120743,0.1482014346280991,0.4671748960357245,0.0215723427173429,0.2468968592545107,0.5062117062442669,0.5983567817623034,0.5223276140806121,0.0398020540549405,0.2969979019771427,0.2927876740495597,0.3955598601890653,0.0908739813388295,0.5991691809457268,0.2674373889798114,0.6066200288543848,0.350724523734836
batch_metrics_graph_connectivity,0.913661714211814,0.8780771824059231,0.7533541993808639,0.8598441259825563,0.6864286624774217,0.7081129142738114,0.6856414848154708,0.8396333533847591,0.8102478485623958,0.8260293086216726,0.7088742350419542,0.7706436665296271,0.8371689133552287,0.729983244675874,0.8826787124793242,0.7529016150842629,0.7080570783487994
bio_metrics_ARI_kmeans,0.4384414304481491,0.2877505071297426,0.1979385943825659,0.3785623597056664,0.1721034992739598,0.2282092590240586,0.1684562944908661,0.352429673518199,0.5137866178875191,0.4823648331310656,0.2530220556216301,0.5280170939987846,0.5522396970059287,0.4070265640408874,0.4850495484776657,0.2034378758943371,0.1821339281902259
bio_metrics_ARI_mclust,0.5873963572126403,0.2656179714350571,0.2467418081202879,0.1657875029278711,0.0251846862553249,0.1891978373250259,0.0759762159342776,0.3185906102318596,0.4639154506894234,0.4800067464350691,0.2590173623811843,0.5114376233500277,0.4792580099743574,0.5411174872200554,0.5852383621662137,0.2729132044219808,0.1809707748164871
bio_metrics_ARI_leiden,0.6583037190168666,0.6039637160514928,0.2985729886893788,0.5055323765892648,0.1692167449015971,0.2677478621693421,0.3214959098162105,0.5729014766347897,0.6574353813286953,0.4098613124954955,0.2537236275851164,0.5461440752600449,0.5894329575621073,0.5446811386579345,0.6392451569959893,0.4102422230102053,0.1547539063871696
bio_metrics_NMI_kmeans,0.4841988120131913,0.345932591417368,0.2155061962717833,0.448688382647199,0.2351764962164168,0.2276471441625009,0.2170112523821574,0.4156240878437977,0.5345253026105071,0.4806223531133232,0.2573164723916646,0.5685441232586035,0.5754481699572329,0.4226979892739446,0.5526981587644542,0.2729779812583888,0.1614509893857039
bio_metrics_NMI_mclust,0.5626141665151779,0.3635506656253494,0.2570552926870748,0.3558544075241401,0.1835974023328054,0.2637692622746423,0.2043981995965694,0.4380499719591577,0.5004391490840535,0.478332233619837,0.2680286436847832,0.5297413865990394,0.545935698023903,0.5435304394281651,0.581875923395733,0.377202623040126,0.1631343146016848
bio_metrics_NMI_leiden,0.6040603349890761,0.5711794554944468,0.2855388997332261,0.4949382553311918,0.2296977144981312,0.2661225020520338,0.2968330701987547,0.5277872432294286,0.5979141890354456,0.4651203296802033,0.2432527677504378,0.5486313870747829,0.5687671827511522,0.5126504470086791,0.6004577369327168,0.3842942960835064,0.1760104049247007
bio_metrics_cLISI,0.9860732555389404,0.9770352840423584,0.9086519479751588,0.972327470779419,0.9035578966140748,0.9161349534988404,0.9100058078765868,0.9699204564094543,0.9736613035202026,0.9691763520240784,0.8467934131622314,0.9735062122344972,0.994012176990509,0.934025228023529,0.9913651943206788,0.9472615718841552,0.7396017909049988
bio_metrics_isolated_labels,0.5605848431587219,0.5353816151618958,0.5197798609733582,0.5381680727005005,0.4995859265327453,0.5209684371948242,0.504455029964447,0.5410723090171814,0.5629240274429321,0.5700381398200989,0.5184674859046936,0.6047075986862183,0.5778638124465942,0.5169304609298706,0.5965608358383179,0.5192651152610779,0.5051681995391846
bio_metrics_ASW_label,0.5816827416419983,0.5229766964912415,0.5148089528083801,0.5572719573974609,0.5085859894752502,0.5180742740631104,0.5144162774085999,0.5609531402587891,0.568554699420929,0.5855764746665955,0.5346616506576538,0.6070963144302368,0.5919277667999268,0.5258628129959106,0.6116028428077698,0.5326420068740845,0.4978893995285034
spatial_metrics_moran_i_mean,0.8755285921913748,0.8495235540360052,0.2463828765264246,0.7199096571631728,0.2232315022739457,0.1439038726587025,0.1432715700024728,0.6877573397911657,0.68357504703034,0.8184122465396563,0.2477750061025387,0.875224307682403,0.5011137726443416,0.4324906055540135,0.9573967831876766,0.2628355345357178,0.7831770532249064
spatial_metrics_moran_i_std,0.0022523567097481,0.0070698693017704,0.0248062691938727,0.0076646137222939,0.0218819104188715,0.0244483868512671,0.0250967184644865,0.0112754874892891,0.01427019529357,0.0173819557052588,0.0122612241670844,0.0089238594025588,0.006246961010794,0.0075254524076642,0.0005380899055656,0.0239122533316551,0.0007518978988715
spatial_metrics_greay_c_mean,0.1215635962064704,0.1485990162855253,0.7525000132902786,0.27419208265482,0.7712132455372607,0.8545925839978548,0.8507929901429317,0.3049253558322677,0.3151705103022743,0.1815495083219299,0.750344324663649,0.124000327917364,0.4968173131314223,0.5666603278475636,0.0437322200649378,0.7300292066274087,0.2169317397601824
spatial_metrics_greay_c_std,0.0023339523660205,0.0066461463141204,0.0247393751893854,0.0074480500129648,0.0214812246879272,0.0245690941867792,0.024702776261834,0.0109380599608649,0.0142626148378357,0.0172273965688549,0.012279615965152,0.0087672327975605,0.006256290759537,0.0075627273868807,0.0006942070993211,0.0235222740909777,0.0007880439618302
downstream_metrics_CHAOS_kmeans_mean,0.0089885266497731,0.0089625815550486,0.0131236715242266,0.0092249627535541,0.0118842053537567,0.0130675208444396,0.0123926140367984,0.0093008580928047,0.008746781386435,0.0101732332259416,0.0127480557809273,0.0089286211878061,0.0084740215291579,0.0106007795160015,0.0084260497242212,0.0122219442079464,0.0089207300916314
downstream_metrics_CHAOS_kmeans_std,6.542876265391236e-05,4.1439987017708885e-05,0.0001288102941509,7.41642609069971e-05,6.571816682096715e-05,7.017311435165928e-05,6.314396910800652e-05,5.2504138527618925e-05,3.650721595207499e-05,0.0001316944791299,7.940198607025862e-05,5.2152256122937385e-05,6.413285488930274e-05,4.3019235712646886e-05,5.822159745348999e-05,5.969378448622848e-05,7.869860520382923e-05
downstream_metrics_PAS_kmeans_mean,0.0903093304771723,0.1019170552535484,0.5613388318644424,0.122981216649842,0.4034003662520137,0.5492867612899536,0.5122548939256658,0.141949799231423,0.0694858293389018,0.1657460144661003,0.4843183244318116,0.0689652505619667,0.0307880562969356,0.2623750272867423,0.019867749959936,0.4507510956892235,0.1230430371252284
