,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.5597734451293943,2.262168407440185,3.212614059448242,1.0449655055999756,1.264765739440918,3.001373767852783,2.716768503189087,2.389666557312012,3.0524044036865234,2.994366407394409,2.9848222732543945,2.764223098754883,3.1839730739593506,3.10962438583374,1.0851616859436035,2.2371368408203125,2.864001750946045,2.8034214973449707,3.0699405670166016,2.233668804168701,1.8096437454223635,2.480998992919922,2.067314386367798,2.685394525527954,2.4059596061706543,2.50948166847229,2.8289175033569336,2.9061079025268555,2.7258830070495605,2.825483798980713,3.318636178970337,3.250804901123047,3.295727252960205,1.3442082405090332,3.5023298263549805,1.467038631439209,3.07046890258789,3.281439304351806,2.5554983615875244,2.590205430984497,2.9274742603302,3.184778213500977
batch_metrics_ASW_batch,0.7740908861160278,0.9212489128112792,0.9828187227249146,0.8613805174827576,0.8986672163009644,0.939754605293274,0.8754379749298096,0.8744482398033142,0.9028047919273376,0.8980851769447327,0.9628705978393556,0.9291166067123412,0.9622532725334167,0.9563970565795898,0.8466449975967407,0.9453357458114624,0.7534816861152649,0.8715846538543701,0.9251649379730223,0.9015815258026124,0.9236995577812196,0.8022292852401733,0.9246057271957396,0.9053397178649902,0.9029654264450072,0.8797081708908081,0.7863421440124512,0.9135102033615112,0.8593246936798096,0.9159363508224488,0.8684410452842712,0.8932329416275024,0.8702842593193054,0.916401743888855,0.9467291831970216,0.9250503778457642,0.88993901014328,0.917774736881256,0.94858717918396,0.8837626576423645,0.92157244682312,0.9095644354820251
batch_metrics_PCR_comparison,0.0,0.7327534927903189,0.934160597278015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034486726226114,0.0,0.2299886611834513,0.9578774922819118,0.0,0.0,0.0,0.9566012315493372,0.2100354212587759,0.0,0.332972676462423,0.621462239065066,0.9944426466813056,0.0,0.0,0.7389005361688179,0.8536937449201099,0.6365220605205152,0.5229483598853408,0.522210901987805,0.0,0.8001506490552659,0.94217987075756,0.0,0.8241093175637934,0.9999990294413804,0.9653718688644124,0.7868462871229175,0.0,0.6441180307251826,0.9906806707879976,0.7419385490320389
batch_metrics_kBET,0.0576800671854974,0.2483217209706759,0.8853403870276911,0.0532523763744483,0.080398006038691,0.5536580019153992,0.2221901703259691,0.2227065577686772,0.3620182798885187,0.3878374683509362,0.4239658413468681,0.4437520657936931,0.6830461750025342,0.829129667954347,0.0923482428137787,0.2712436083358312,0.1630414759870806,0.4102365489178405,0.5373727089759229,0.2357246069975312,0.1599790234597827,0.247797682660983,0.2650314164396861,0.2891273893502158,0.1817920733659936,0.3013586531655295,0.3138769118043981,0.3913738764251101,0.2683080488356778,0.3485906254695347,0.5621222809673092,0.673344123067543,0.2152894675566586,0.0168297823668623,0.6441497852562266,0.1076071763527567,0.5502218257612004,0.7283177009947264,0.2534793506117218,0.2882532703764582,0.5416475605303482,0.5863498146314118
batch_metrics_graph_connectivity,0.8850663489023224,0.9531276191493474,0.8037884213726907,0.9443990000784446,0.8300235153544954,0.6050195651380994,0.7374291753155939,0.7710911042523949,0.3520553559206184,0.6235677843745148,0.6371042195079804,0.6794231206236467,0.8186213948649084,0.4687936725694299,0.9001558391501361,0.9461558133305794,0.2085470606517465,0.7891410019180065,0.8744495865530412,0.9568716871648943,0.9339353226133432,0.9343366535600652,0.9354823831426826,0.908781527584628,0.8639709307481624,0.9300220717113408,0.8139540114251433,0.8436110913194323,0.8549708394042874,0.8582221885098615,0.5000924887959701,0.6409340579881261,0.8199138665154905,0.9117714565763516,0.8726802025159248,0.9191325823110122,0.8804806381497594,0.8835461904663002,0.935706995419991,0.952519101609302,0.7402185066521938,0.561332277092847
bio_metrics_ARI_kmeans,0.183134711062683,0.3391697750890176,0.2689470249738636,0.3326481002143601,0.2600866543423156,0.123109665173717,0.1315517951924021,0.1358479114041194,0.0291659714495292,0.1451865649078759,0.2201797212067708,0.2081969857189879,0.2661027283335778,0.2990645744641946,0.1376022622812219,0.3955976076111561,0.0439605559487286,0.4632359835662482,0.3981986552255104,0.3019179585737978,0.3525370576110144,0.4282728884726949,0.2842554931462322,0.4442030183950328,0.4030186258630743,0.4808032751160701,0.4824003008389642,0.5100919658804773,0.352934928281045,0.4048679107257015,0.2599175729387559,0.3238055370050568,0.197385868081683,0.4059667366074999,0.2872820651320649,0.4490267959424855,0.5647938144638159,0.2714817152780986,0.4133274200439812,0.3923552580085681,0.2586736425690478,0.2793010589178134
bio_metrics_ARI_mclust,0.1956740854037298,0.3385745806112122,0.2525069252205654,0.2264339735520131,0.1486854129220375,0.2294142434823149,0.1179609599774087,0.1270598749894986,0.0305967771440719,0.1120581116668561,0.2293357023900774,0.1697880431085804,0.3077410825280184,0.3495442366272291,0.2009423591222467,0.4291346114884266,0.2381107306007341,0.4752898080451572,0.3438256817367666,0.5374689537842199,0.4631306080410721,0.4540708171232017,0.5311768859168569,0.4770793754312388,0.4862755107756095,0.5310759918038892,0.4782306149909343,0.5471217996194394,0.440305066043544,0.5006376924479079,0.23362318380379,0.3728414040199989,0.2376410246286015,0.4578690220535695,0.465194647327474,0.515636173463193,0.6005561181535835,0.3448018961147051,0.3223309447651362,0.4160891182866495,0.1660414433230937,0.286194103816115
bio_metrics_ARI_leiden,0.2525035946049898,0.3550010543348643,0.3015472225335194,0.2571573966253158,0.2886645355077286,0.1593886212445378,0.1657897723946391,0.172370259420343,0.0264789753325152,0.1457110222029211,0.2047545980848861,0.2693030321958136,0.311234750746901,0.3628805189652839,0.19362372726523,0.5142508124365648,0.044435923255276,0.4551597698197686,0.4329395103988661,0.4465071607860881,0.3719358187081174,0.518502707050403,0.4140360417979966,0.4289779516869951,0.4206365089801099,0.5059443375387905,0.4667305447496386,0.5110564450288304,0.3620768138744695,0.4315892921052152,0.159443045037149,0.4225904702612045,0.1676999817426973,0.2784509582958023,0.3432653130828995,0.4386760930288263,0.5907824504293204,0.2954386869731842,0.4147787059953914,0.4074161380017901,0.2871904962876498,0.2309198049296964
bio_metrics_NMI_kmeans,0.2623562396977207,0.4827199549163514,0.3768992587345141,0.4969415628640222,0.4018579210020167,0.2157854243107874,0.2532125150992016,0.2366967044158694,0.0712120842436294,0.2673393484746874,0.2917802295814318,0.3363748508654215,0.377079389898323,0.4559432428272403,0.2645412120008233,0.5305943214500172,0.1034377538680323,0.5802921195215086,0.5018925768014042,0.461567808374406,0.5129358572067115,0.6059584950917934,0.4560104367936158,0.5869608548032457,0.5159412082866902,0.6218747738049322,0.6478767061696706,0.6134747957902835,0.5008938307947602,0.545451926908733,0.4036190676696332,0.4799122435371481,0.2826913753273958,0.56214615252256,0.447359920103039,0.6345854236417894,0.6802859458661632,0.432996280164315,0.553957006584699,0.5643125954107873,0.460848223079633,0.425456441863603
bio_metrics_NMI_mclust,0.3564248054429921,0.5052723379525783,0.3830166759011417,0.4186887892471897,0.2855155004608167,0.3671971692788112,0.3002346657160702,0.2460193682186342,0.0713359693678641,0.2646075955730052,0.3523258584781754,0.3459618547921345,0.4658584288735317,0.5319892681050278,0.3477898318123406,0.5866630338768952,0.3287866589950094,0.5825789615896467,0.4849690502030658,0.6652986787618435,0.6352975880810687,0.6294132440797259,0.6914506947975222,0.622556893126486,0.5961655401383226,0.653908924131578,0.6474816230031846,0.6596648301845187,0.5675167339136714,0.6624640132086463,0.38121682879989,0.4984987163483049,0.3435331344565264,0.6173063156312264,0.6127576552936013,0.6886003713655454,0.7018407519706626,0.5290672555837926,0.5341377967764716,0.6085265156967903,0.4020932159584072,0.426939977640788
