,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STACI,INSTINCT,stClinic,STAligner,STAIG,STAGATE,SPIRAL,spCLUE,SpaVAE,SpaBatch,SEDR,scNiche,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.3417563438415527,1.495211839675903,1.875044584274292,1.2873971462249756,1.6652308702468872,1.0385723114013672,1.8771148920059204,1.014121413230896,1.8736158609390257,1.5585479736328125,1.6974717378616333,1.7837918996810913,1.829569220542908,1.863056778907776,1.0000001192092896,1.8720707893371584,1.8312227725982664,1.850396513938904,1.6647655963897705,1.8000292778015137,1.3998873233795166,1.824290752410889,1.313143968582153,1.853995442390442,1.860042214393616,1.8371860980987549,1.6107244491577148,1.8825122117996216,1.86925745010376
batch_metrics_ASW_batch,0.9739148020744324,0.9143611788749696,0.991493821144104,0.9570669531822203,0.973693549633026,0.8381251096725464,0.984727144241333,0.9032180309295654,0.9811277985572816,0.9612550735473632,0.9768958687782288,0.9194495677947998,0.977658212184906,0.9747319221496582,0.6540927290916443,0.9874518513679504,0.951196789741516,0.9783132672309875,0.8627605438232422,0.9801177978515624,0.9264739155769348,0.9809759259223938,0.9561546444892884,0.9434629678726196,0.9718199968338012,0.9868568778038024,0.8997983932495117,0.9771660566329956,0.972716212272644
batch_metrics_PCR_comparison,0.0,0.0,0.2959480712822724,0.0,0.0,0.8652926349019991,0.9785738306229764,0.0,0.0157329044704875,0.0,0.0,0.0,0.9825721503715672,0.0,0.0,0.0828797544371136,0.0,0.4146401963716396,0.0,0.4613815363656581,0.0,0.0,0.0,0.1869159777561959,0.0079551692103498,0.0,0.0,0.958958529695353,0.0
batch_metrics_kBET,0.1713749782109091,0.2628016130693893,0.7621718989855621,0.1651901598507918,0.6977342342837509,0.5179653531892902,0.9162506475434165,0.0072068702900934,0.7800821744477978,0.3808516990214126,0.4940380116251616,0.5912784196159758,0.7939900210857422,0.8391403813237398,0.0043233538488996,0.8823650484333687,0.5080635933421713,0.6800252687940394,0.3190901003182858,0.4730027419856325,0.121830823065555,0.7034561735322026,0.1120669679520371,0.6784979476455532,0.8064961692574891,0.7320647064266477,0.4906724217961208,0.8764553194238872,0.7471702509361673
batch_metrics_graph_connectivity,0.9917354942852996,0.9411610881606745,0.7962166477257395,0.9992345990430402,0.1129354535209812,0.2470108126403473,0.1146100390062608,0.9995569994093324,0.4295393638455645,0.7786237244581588,0.7607358011297554,0.8832250432754442,0.424634884365576,0.5976007724230588,0.8891396720009282,0.873886772050908,0.8039139043420114,0.870443551055955,0.8513805804289672,0.8223121571444869,0.7929184802407535,0.9220476460220436,0.9506701560549756,0.7830656569036494,0.5691610202963688,0.7387056093741684,0.9698167173748988,0.3360245984758888,0.78245595212201
bio_metrics_ARI_kmeans,0.0641924198216907,0.1264293122629573,0.0112130306486109,0.0886273447564119,0.0265708843752651,0.0082211171261895,0.0148496946154317,0.2489374312922734,0.0060547831080184,0.037605785213793,0.0340303164490078,0.1959189462683863,0.0092029021366982,0.000560189216087,0.145007486212151,0.0019724435802356,0.055479492675986,0.0307663646192398,0.1751816956590295,0.0487464161815744,0.1473566264226702,0.0338664532051537,0.1307547558228252,0.0319064908994217,0.0134105140444614,0.0168458755016631,0.4426867416085328,0.0644229581424495,0.0450623957831296
bio_metrics_ARI_mclust,0.0766018279519276,0.0925653227309183,0.0094284668289377,0.0452341971110809,0.0144557498876235,0.0065680247242149,0.0146600593368413,0.1807919656374443,0.006876897328514,0.0391272726514165,0.0015558998767625,0.1662746211388509,0.0112294631323732,0.002350154927924,0.12443871838452,0.0146083669821923,0.0194435816805388,0.0110259364739805,0.031229146194006,0.008545688503518,0.1520334096000825,0.0356655148923176,0.0352208898342391,0.0173955776927145,0.0138042790444167,0.0232946207264496,0.4308691019122859,0.0144197229463972,0.0033803454062954
bio_metrics_ARI_leiden,0.1605172032532867,0.1304261508348008,0.0061298081040718,0.1272205199692923,0.0186262914062357,0.0024182563619931,0.0101256004011238,0.2866077547772249,0.0030466551394036,0.0566846449093289,0.037277446508003,0.1848631293594715,0.0023437932336731,0.0003192853409718,0.1416312318975689,0.0031243076636782,0.0385752978893975,0.015674981078026,0.0497207651207061,0.068764127832745,0.2006790956964974,0.026764222658547,0.231229530609271,0.0321904823013471,0.0090265358004019,0.0013625502622228,0.5236703370977421,0.0570872225577127,0.001236576646737
bio_metrics_NMI_kmeans,0.0752374070172784,0.1383115969140258,0.0121281788427575,0.1085440080796396,0.0331113780778931,0.0088145256413459,0.0101421047390905,0.3124555391585784,0.0059005286166244,0.043423969695851,0.0360214292319067,0.2329702508069631,0.0084407211509965,0.0014549411087826,0.145950316598237,0.0019951509862834,0.0638645345107987,0.0293257751453511,0.203756995167029,0.060249990537974,0.1593374723073679,0.0352757564997518,0.1525824009800309,0.0582056219236759,0.0108936828117826,0.014628808706529,0.552575267116911,0.0735720875099412,0.0408762124606815
bio_metrics_NMI_mclust,0.0951368325142749,0.1202745942208489,0.0096405359639793,0.129601201561235,0.0284688689560794,0.0037900769930405,0.0094928012047875,0.3473251762021327,0.0056441499190512,0.0442692621319555,0.0213612187996061,0.205395000278329,0.0078406808926982,0.0027949065601116,0.1290628028691757,0.0095752839030853,0.0359868841971151,0.0154762513755471,0.1187900125598804,0.0228365414556981,0.1562679543198349,0.0367350939316208,0.077904982814527,0.0880737742245864,0.0075929127736665,0.0204716938661968,0.5550147250009357,0.0270796875658803,0.0274538859100441
bio_metrics_NMI_leiden,0.1558139908957256,0.1309088959038081,0.0065938334675869,0.1690764123801483,0.0275568402370675,0.0068674825533115,0.0123626372479909,0.4015086405018027,0.0073738393686739,0.0679067278683422,0.0417322233636006,0.2125088708461584,0.0032894892586108,0.0011232914632186,0.1520854113662042,0.0029621540660222,0.0483036359104227,0.017875195810175,0.1600908557463116,0.0810770522478766,0.1849720004532288,0.0352411515633129,0.2702408768789242,0.0637310021749286,0.0085917018594026,0.0039651891920618,0.6055112136808318,0.0447144316601753,0.0027862130103406
bio_metrics_cLISI,0.7642205357551575,0.7152495384216309,0.3395098745822906,0.771575927734375,0.3669992387294769,0.349501371383667,0.3498567044734955,0.97320157289505,0.3401304185390472,0.6537194848060608,0.5175850987434387,0.6670384407043457,0.4229027330875397,0.3187948167324066,0.6828269958496094,0.4939589500427246,0.446996122598648,0.5050439834594727,0.6579113006591797,0.6027262210845947,0.7193854451179504,0.4967987537384033,0.7899553179740906,0.3836321830749511,0.3500228822231293,0.4180539548397064,0.9924694895744324,0.3669971525669098,0.4181194305419922
bio_metrics_isolated_labels,0.4995574951171875,0.498113602399826,0.4977967739105224,0.493318498134613,0.4907488822937011,0.495268702507019,0.4937651753425598,0.5073518753051758,0.4933763444423675,0.4930967390537262,0.4933547973632812,0.4851889908313751,0.4887553453445434,0.4942616820335388,0.4990874528884887,0.500208854675293,0.489998996257782,0.4974815845489502,0.4933088719844818,0.4930737614631653,0.4960855543613434,0.4944396317005157,0.5005800724029541,0.477957546710968,0.4877964854240417,0.4989770650863647,0.6123758554458618,0.4969553649425506,0.4914253950119018
bio_metrics_ASW_label,0.498809814453125,0.5017951726913452,0.4980024695396423,0.4922457039356231,0.4910527169704437,0.4939000308513641,0.4947190582752228,0.5037135481834412,0.493715226650238,0.4946439862251282,0.4938617944717407,0.4865916967391968,0.489960640668869,0.4943800568580627,0.5028706789016724,0.5010257959365845,0.490237295627594,0.4971823394298553,0.4905667603015899,0.4925578236579895,0.4962559044361114,0.4951248466968536,0.4999113976955414,0.4714554846286773,0.4895256459712982,0.4998717010021209,0.5965976119041443,0.4969263672828674,0.491378515958786
spatial_metrics_moran_i_mean,0.597062978913133,0.5884163517619464,0.0152966425207232,0.5423819025082885,0.165073017074556,0.0039196295055494,0.0106812321949524,0.8854162404931938,0.0199746807573156,0.2320654530324531,0.2149704129545929,0.6461896987567481,0.1113299856413785,0.0340323631842213,0.4794779856428212,0.1884134548545722,0.2212548581327962,0.4736481022820697,0.4464369825862416,0.4166107628184922,0.2618591187378108,0.1851302070876448,0.4293357527129307,0.2613944378720171,0.0307895180904189,0.2836632241669051,0.9437380074287368,0.0948885428125556,0.3236787905042759
spatial_metrics_moran_i_std,0.001773727386005,0.0034644350589098,0.0018461252842032,0.0040594287962211,0.0054150505718988,0.0019733988986469,0.000795875750062,0.0037972334843789,0.003409108053461,0.0087336351188073,0.0036351172836825,0.0122943349573279,0.0007151962970005,0.0033181407443611,0.0161827365916004,0.0055557745071796,0.0106774012800019,0.0052227520537716,0.0186177108635937,0.0146125227239382,0.002276833113192,0.012113757909146,0.0004409350943958,0.007359414229099,0.0098142609407411,0.011765936450034,0.0074659336004694,0.0014886830216198,0.0134526830674311
spatial_metrics_greay_c_mean,0.3870258855418694,0.4118548055516346,0.9843845435219534,0.4569225006033064,0.8342668203279286,0.9959962750028476,0.9894313145584034,0.1443212615518043,0.980087509468877,0.7655863151631843,0.7841517435703949,0.353106759413109,0.8888480552406691,0.9623701801217608,0.5192383900673496,0.8099369240524867,0.776403600499032,0.5271915393680232,0.5536544463430002,0.5819881710237622,0.7338366205147862,0.8144697352974852,0.5644031553687833,0.7368437864183319,0.9663971963994804,0.7149811483191308,0.0622881037462559,0.9045008348309134,0.6759822323066709
spatial_metrics_greay_c_std,0.0014845788312016,0.0038018889447809,0.0018882468456228,0.006228643755775,0.0065038913876092,0.0019053237730036,0.000466475526349,0.0009954614438646,0.003370534747026,0.0094244709530542,0.0037008818727238,0.0138885483560901,0.0014519036444595,0.0042184566633998,0.0169614639759831,0.0050045490367694,0.0113141032686839,0.0059292306656972,0.0194241353461721,0.0148391675308244,0.0021645893085005,0.0117256679781258,8.704778257206947e-06,0.0090326406127965,0.0098200560061799,0.0126736942789099,0.0059811256247448,0.0002471894676017,0.0134244657706421
