,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STAMP,STAIR,SpiceMix,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche,scGPT_sp
batch_metrics_iLISI,1.1455481052398682,2.524132251739502,1.1128283739089966,2.5646543502807617,1.164960861206055,1.7043777704238892,1.4542028903961182,1.1168434619903564,1.1672370433807373,1.2828173637390137,2.414121389389038,1.687816143035889,1.0684260129928589,1.0,2.418818473815918,1.0000001192092896,1.0000004768371582,1.255862593650818,2.4109976291656494,1.1434074640274048,1.007408857345581
batch_metrics_ASW_batch,0.8391685485839844,0.9233494400978088,0.8864938616752625,0.9217138290405272,0.8577959537506104,0.8372839689254761,0.7390853762626648,0.8389995098114014,0.8115924596786499,0.7943608164787292,0.8873838186264038,0.7882606387138367,0.8024550676345825,0.5322830677032471,0.7433396577835083,0.5427718162536621,0.7654630541801453,0.8248251080513,0.8389516472816467,0.513660728931427,0.6902164220809937
batch_metrics_PCR_comparison,0.9886541645563416,0.9920261564010472,0.9747636487311836,0.9871080499024152,0.3616687747486252,0.9809529970460446,0.7196000128451298,0.7403752772560426,0.5158309858198539,0.6385106397426334,0.9797508173916266,0.8271096463387773,0.9654670914636898,0.0,0.9587734351696968,0.4906542604747181,0.6715813000047602,0.8836297678015762,0.990484926946446,0.5988527939907765,0.0
batch_metrics_kBET,0.0081212792194814,0.086153573794291,0.003367523445143,0.0957691140682298,0.0077762590210641,0.014218662905497,0.0143119797689716,0.0030176310655021,0.0008520971592286,0.0093813383446264,0.1012759854700572,0.0436794716396286,0.0095607812998961,0.0017625973402151,0.1526685365460628,0.0015535966826903,0.0009153368131893,0.0038583624232038,0.0787578673727527,0.0252097931481612,0.0010532091586632
batch_metrics_graph_connectivity,0.9026931353292368,0.661503947611001,0.8954380271153449,0.4399785627103622,0.5292568077877864,0.8623466075993611,0.4781104305269127,0.5665313225410289,0.7655448366114499,0.8827681007141195,0.6518402062930587,0.8017187670587906,0.8976752964162851,0.5895469650900291,0.4412630102371008,0.5180605692942879,0.776483213354603,0.0975773789081749,0.6521989980057005,0.2713641917639683,0.7295389676036492
bio_metrics_ARI_kmeans,0.1120075214719921,0.1656553123510985,0.1751579530084885,0.1069666597252708,0.0796398412747783,0.1370720532068412,0.1131563390275992,0.1386527150637217,0.1634627580058443,0.1736584430103849,0.2147452161241273,0.1559004409450149,0.1665593854625559,0.1542575088293078,0.1372893099680667,0.1622093342640653,0.1998587661881049,0.0131104459229028,0.1824225155078885,0.2170643139725225,0.0904132476521494
bio_metrics_ARI_mclust,0.1293923280308322,0.1689205175414382,0.2007107478107161,0.1518398952456227,0.1225004837845833,0.1344965982473493,0.0986202166158994,0.1732117943429755,0.1934367453133421,0.1874203676042256,0.2190450831127045,0.1541782547304131,0.2024612520053775,0.1430783046850332,0.1709469624237434,0.153488078422499,0.2097700862689465,0.0176909931368316,0.1003788152148442,0.2091006647985806,0.1353897293455027
bio_metrics_ARI_leiden,0.2325784161737816,0.2330888312707231,0.2383238640569482,0.2243723930040678,0.105688572630026,0.1643045776088958,0.1253620583346346,0.1702300617931982,0.2329601232276685,0.2086085219425248,0.2804748268235809,0.1852843164231775,0.2037211222966105,0.1377506021084095,0.1934416753690176,0.134514588719359,0.1891346454997949,0.0185245690287907,0.2042380850589991,0.1596210012293964,0.1309267013288241
bio_metrics_NMI_kmeans,0.3616742281533938,0.439443252288912,0.4514669288208223,0.2873323401106965,0.2785859867169503,0.3667115302961166,0.308688073306738,0.3976808047749569,0.4548801675527686,0.4763962003514176,0.4801380735989297,0.4446410221925371,0.4499773130062414,0.4302730757295001,0.3882260467369986,0.4230441061771589,0.5154743616267496,0.0719780442606841,0.4210592163360111,0.4430092754943948,0.2669829573915898
bio_metrics_NMI_mclust,0.398330282834721,0.4422737428702133,0.4917964090843789,0.4092587640568609,0.3753961377631066,0.3967289764061212,0.2886814887177932,0.4699284626016179,0.4940861781980337,0.4850793489162656,0.4891144003736815,0.4451247034515887,0.5103377890406421,0.4327517911531265,0.4132211583042768,0.4149687846067801,0.5086478053149563,0.0821712404159202,0.4075725609808476,0.4425763847130013,0.3694341131879666
